Feature,Importance
povertyratio,0.3510409856625643
potassium,0.19706726803183183
sugar,0.16258984260758982
fiber,0.14402326791501135
satfat,0.13018899742307838
race_Black,0.005941064742885396
race_White,0.0026372548206298673
race_Mexican,0.002607968222033506
race_OtherHisp,0.00223472847082674
race_Other,0.0016686221035488926
